l3	l5	l1	l2	l7	l6
1020HH-2	-0.437339087698007	-1.46290868730295	1.08685636709625	1.18176268734254	-0.0770311173342474	-0.291340162103586
ATP2A2	-1.15683703343136	-1.36777340654387	0.965179817584358	0.430154162794369	0.700075745450706	0.429200714145792
ATP2B1	-1.07796792454176	-1.3768782180636	1.13160132466651	0.52607227169773	0.581856427543848	0.215316118697269
BHMT	-1.0388123842585	-1.39803990424711	0.689653581647283	0.433259255509974	1.12590424688963	0.188035204458713
CALB2	-1.15661732409041	-1.19373996964143	1.14701563357078	-0.0361471720437855	0.895519221162272	0.343969611042582
CALM1	-1.51176190652828	-0.763733821055156	0.452766544603165	-0.0730261448025593	0.698867528152535	1.19688779963029
CAPN3	-1.22920907567077	-1.31467863820505	0.947999437411693	0.500100302073574	0.623677358258817	0.47211061613173
CD9	-0.513862773141615	-1.44420383117117	1.11219037283215	1.12386571557317	0.0971616634516789	-0.375151147544207
CETN1	-0.892234786781575	-1.13667484159584	1.59306753270237	-0.130554586302913	0.596707611431627	-0.0303109294536705
CNN1	-1.20280588868226	-1.13517177429534	0.422948379973896	-0.113582718829365	1.10155089722759	0.92706110460548
CNN2	-1.28381428631959	-0.90199982677462	0.231672744136313	-0.245300639807238	1.15263580153025	1.04680620723489
COL11A1	-1.08349275787606	-1.37872042393681	1.0314311465039	0.243599899316568	0.81413766546996	0.373044470522438
COL1A1	-1.14263076599645	-1.35660937776584	0.968509397991145	0.318919599769543	0.805958861970212	0.40585228403139
COL3A1	-1.10223717891456	-1.34709830682633	1.04721289181168	0.323524301302229	0.845395046666241	0.233203245960735
CORIN	-0.39667693044978	-1.45158723993967	1.49707451572125	0.553886738459276	0.187594548644362	-0.390291632435433
CPO	-0.684845971575363	-1.17634355380655	0.791277057372213	1.38926623107792	-0.679305779549212	0.359952016480996
CROCC	-0.94444568372447	-1.27416431642809	0.989383683948033	0.0140461031757682	1.22691183352315	-0.0117316204943945
CSRP1	-1.40843842510987	-1.02655920081597	0.484472022973734	0.114067269722178	1.03752569209482	0.798932641135119
DMBT1	-0.854575564354868	-1.27561938697425	1.39402513569766	-0.140336637102179	0.822547093655322	0.0539593590783259
DOHH	-1.26474999054811	-1.02181267983016	1.44533629701303	0.420398233137039	0.242245352328369	0.17858278789984
DYRK2	-0.842381966993554	-1.35805030654799	1.14818729867671	1.05813924492003	0.0606212567908595	-0.0665155268460532
FLNB	-1.28561689243289	-1.00890702535749	0.54049329311946	-0.236444296658146	1.00667661549033	0.983798305838736
GOT1	-0.902007205252246	-1.15500532571581	1.52999991021078	0.672620279500884	0.0828032695310391	-0.228410928274638
GRIK3	-1.51254089550296	-0.905725427390379	0.832975975348681	0.156614921690451	0.990876628981938	0.437798796872275
HDHD5	-0.108935145426316	-1.24555271367876	1.09719059759695	1.29707759339988	-0.590326348014394	-0.449453983877357
HSP90B1	-0.533537706378666	-0.413312375570177	0.585532040193375	1.50060605282751	-1.37613502039946	0.236847009327417
LDB3	-1.51505713256151	-0.810777687268759	0.377840877046318	0.0603527419166583	0.699647922322653	1.18799327854464
LRP1B	-0.515568351887573	-0.552806638738987	-0.721642379157289	1.25365862526869	-0.778798676982887	1.31515742149804
MNAT1	-0.15445344401801	-1.33789436179122	1.2357161310923	1.10181199527289	-0.212787999157385	-0.63239232139858
MYH16	-1.38078269231469	-0.809063118807053	0.223173352352221	-0.19615502813061	1.00505433969392	1.1577731472062
MYH7B	-1.32941612025522	-1.19579822841594	0.72151364554244	0.24197748052239	0.826108834007997	0.735614388598337
MYL9	-1.2172855662813	-0.7818581866234	-0.137510159686296	-0.235673165300039	1.28232709500017	1.08999998289088
PDLIM2	-1.40904098383598	-0.968525324160532	0.528343468519485	0.0887295982516303	1.22656599185621	0.53392724936919
PFKM	-0.910782115036924	-1.25498563845564	1.42140753585341	0.492524825576183	0.513729742686482	-0.261894350623516
PGAM2	-0.646134972685851	-1.10040339361605	1.47112905926462	0.967893834498265	-0.222114559063978	-0.470369968397002
PI16	-0.672161173742727	-0.827977998273935	0.834518232502181	-0.882351273512794	1.54521186933753	0.00276034368974602
PSAP	-1.15494783777631	-0.957545358634744	0.477308285078882	-0.417324782923165	1.37325713978581	0.679252554469524
RAB28	-1.3900080798869	-0.976146431024869	0.402923852600232	-0.0115691047857277	1.02357415211677	0.951225610980497
SMED30000513	0.533345649092851	1.13744799897995	-1.32388616277638	0.262736448348995	-1.1457192827933	0.536075349147882
SMED30000746	-1.16988441301517	-1.30748095329276	1.02661830844474	0.189024713253374	0.765428787395834	0.496293557213971
SMED30000956	-1.45832244041998	-0.769323732497819	0.154292186084131	-0.0483078616678021	1.01301656184644	1.10864528665504
SMED30001715	-1.48685042609479	-1.05908175055093	0.798793592883228	0.498105631182538	0.650969962916136	0.598062989663819
SMED30003183	-1.4055969514512	-1.1433028405166	0.715326623181822	0.376082669547334	0.698035356378279	0.759455142860365
SMED30004383	0.495660157407075	-1.25782857252091	1.06547876160492	1.0388676804133	-0.502304663291604	-0.839873363612787
SMED30004574	0.0145633334060959	-1.29934116709912	1.21263294145223	1.10087540332132	-0.290812236935458	-0.737918274145068
SMED30005324	-0.114407023552913	-0.46816311004225	-0.899873267798938	-0.655630985683755	1.85720894053649	0.28086544654137
SMED30005644	-1.12600864193209	-1.30071254713217	1.06646262401348	0.0173472471263473	0.692698878137355	0.650212439787082
SMED30006007	-1.31070389127535	-0.8019030136409	0.446552441335912	-0.178495339197084	1.51664650639186	0.327903296385563
