time_simu	ARNT_act	ndk_act	ARNT_pred	ndk_pred	time_realp	ARNT_realp	ndk_realp	EGR1_act	hox4b_act	EGR1_pred	hox4b_pred	EGR1_realp	hox4b_realp	NFYA_act	glra1_act	NFYA_pred	glra1_pred	NFYA_realp	glra1_realp
1.03808	4.81587	3.79317	6.77825	3.86845				5.47954	3.75995	5.13436	3.73138			7.08532	6.85431	7.80909	7.73055		
1.06614	4.84101	3.84692	6.79747	3.92739				5.50494	3.78346	5.15332	3.74531			7.0944	6.91535	7.84128	7.82713		
1.09419	4.8682	3.90064	6.81627	3.98635				5.53036	3.80819	5.17235	3.75943			7.10358	6.97653	7.87308	7.92422		
1.12225	4.89737	3.95433	6.83466	4.04531				5.55579	3.83419	5.19145	3.77375			7.11294	7.03787	7.90448	8.02181		
1.15031	4.92847	4.00798	6.85265	4.10426				5.58125	3.86149	5.21061	3.78826			7.12255	7.09934	7.93548	8.11988		
1.17836	4.96141	4.0616	6.87025	4.1632				5.60675	3.89015	5.22983	3.80297			7.13247	7.16097	7.96608	8.21841		
1.20642	4.99615	4.11518	6.88747	4.2221				5.63229	3.92022	5.24912	3.81788			7.1428	7.22273	7.99629	8.31739		
1.23447	5.0326	4.16872	6.9043	4.28097				5.65788	3.95174	5.26847	3.83299			7.15359	7.28464	8.0261	8.4168		
1.26253	5.07071	4.22221	6.92077	4.33979				5.68354	3.98475	5.28787	3.8483			7.16492	7.3467	8.05551	8.51662		
1.29059	5.11041	4.27566	6.93687	4.39855				5.70926	4.01931	5.30733	3.86381			7.17686	7.4089	8.08454	8.61685		
1.31864	5.15164	4.32906	6.95261	4.45726				5.73505	4.05546	5.32685	3.87952			7.18949	7.47124	8.11316	8.71746		
1.3467	5.19432	4.3824	6.968	4.51589				5.76093	4.09326	5.34642	3.89543			7.20289	7.53373	8.1414	8.81844		
1.37476	5.2384	4.43568	6.98304	4.57444				5.7869	4.13274	5.36604	3.91155			7.21711	7.59636	8.16924	8.91978		
1.40281	5.2838	4.48891	6.99775	4.6329				5.81296	4.17395	5.38571	3.92786			7.23224	7.65914	8.19669	9.02144		
1.43087	5.33047	4.54208	7.01212	4.69126				5.83914	4.21694	5.40543	3.94438			7.24835	7.72205	8.22375	9.12343		
1.45893	5.37833	4.59518	7.02616	4.74952				5.86542	4.26177	5.4252	3.96111			7.26552	7.78511	8.25042	9.22572		
1.48698	5.42732	4.64821	7.03989	4.80767				5.89183	4.30846	5.445	3.97804			7.28381	7.84832	8.27671	9.3283		
1.51504	5.47738	4.70117	7.0533	4.8657				5.91837	4.35708	5.46485	3.99517			7.30329	7.91166	8.3026	9.43116		
1.54309	5.52844	4.75406	7.06639	4.9236				5.94503	4.40759	5.48474	4.01251			7.32405	7.97515	8.32812	9.53427		
1.57115	5.58043	4.80687	7.07919	4.98137				5.97182	4.45993	5.50467	4.03005			7.34608	8.03878	8.35325	9.63761		
1.59921	5.6333	4.8596	7.09168	5.039				5.99871	4.514	5.52463	4.04781			7.36934	8.10255	8.37801	9.74119		
1.62726	5.68699	4.91224	7.10389	5.09649				6.0257	4.56972	5.54463	4.06576			7.39378	8.16646	8.40238	9.84497		
1.65532	5.74142	4.96479	7.1158	5.15382				6.05277	4.62702	5.56466	4.08393			7.41934	8.23052	8.42638	9.94895		
1.68338	5.79654	5.01725	7.12743	5.21099				6.07993	4.68581	5.58472	4.1023			7.44597	8.29472	8.45	10.0531		
1.71143	5.85228	5.0696	7.13878	5.26799				6.10715	4.74601	5.6048	4.12088			7.47362	8.35906	8.47325	10.1574		
1.73949	5.90859	5.12185	7.14986	5.32482				6.13442	4.80754	5.62491	4.13967			7.50225	8.42355	8.49613	10.2619		
1.76754	5.96539	5.17399	7.16067	5.38148				6.16175	4.87032	5.64505	4.15866			7.53179	8.48818	8.51865	10.3665		
1.7956	6.02264	5.22602	7.17121	5.43795				6.18911	4.93426	5.6652	4.17787			7.5622	8.55295	8.54079	10.4712		
