	AP	frizzled5/8-4	ndk	zic-2	prep	sfrp-1	fz5_8-3	ndl-4	ndl-1	ptk7	ndl-3	wntA	teashirt	wntP-2 / wnt11-5	wntless	sfrp-2	wnt2	ndl-2	ndl-5	wnt11-2	dd4427	dd13065	sp5	fz4-1	Post-2c	hox4b
58	57	5.796734246	14.20653876	2.504023421	10.32917075	1.063561385	8.297197949	2.742996216	12.35531615	1.767946342	2.687917269	22.25235487	4.188614895	2.8883015	8.140003233	5.527083322	1.159135987	7.260282245	10.96262596	1.082416943	4.273794619	1.317391976	1.323860693	0.758345867	0.518727084	0.668918845
59	58	6.260361229	18.10216821	2.586542373	11.46444551	1.03770809	7.451422009	2.982414708	12.10344279	1.769187536	2.668660609	22.11537716	3.948773348	3.120735093	9.20242464	6.606132329	1.238046211	7.63546052	13.30644125	1.081172863	4.17389001	1.30947828	1.345755688	0.790656961	0.522526347	0.715844523
60	59	6.570146754	20.92047428	2.970459577	10.97243504	0.935441785	6.434909445	3.425090741	12.45186589	1.940803673	2.434135889	20.6849079	3.726831397	3.779508067	7.71532531	6.812106149	1.329951131	9.221296945	13.61150411	1.145799061	4.323576266	1.236667332	1.23357171	0.826508097	0.526220539	0.683636255
61	60	7.03758878	21.37116432	3.166211812	10.51377838	0.986805654	7.343757612	3.534933048	16.81293328	1.764585996	2.79039055	19.96685778	3.198441036	3.701821375	9.924379347	6.862316065	1.439168243	7.311614306	15.54748017	1.084592013	4.385996861	1.17095825	1.313344602	0.864700298	0.530606097	0.682367649
62	61	7.72478262	17.68017893	3.031220117	9.775959105	1.046328529	7.006585592	3.819873512	13.25016617	1.610808402	2.987199239	21.57937411	3.186176285	3.605729128	10.40706692	7.164269071	1.477442143	6.389206462	18.01485571	1.04620378	4.715867778	1.109969719	1.306393894	0.819662995	0.536488753	0.660000711
63	62	8.946353211	16.3786061	3.134205506	8.514880613	1.112967366	6.850761612	3.866937366	13.66752061	1.482052492	3.25780065	17.70304173	2.922430564	3.558828632	8.081364422	7.48778163	1.613528069	6.730044804	18.61557755	1.09727523	4.366214659	1.11509757	1.467114596	0.819560559	0.54402398	0.682608638
64	63	9.113246622	13.39654173	3.262392528	8.017949708	1.040910837	6.265998937	3.302785497	13.47752991	1.731818373	4.040233949	12.92440032	2.592980538	3.433381038	7.757692858	7.119162679	1.778182932	6.797690466	22.91029222	1.1557262	4.357400021	1.059856225	1.567483021	0.778959962	0.552897876	0.70422166
65	64	9.566937044	12.18983584	3.2932679	7.873703539	1.017608381	8.544356848	2.87724117	10.26379138	1.501101116	3.707251891	15.00178157	2.580700743	4.014683362	9.265921574	8.732173684	1.807394743	7.515359098	18.39886788	1.220249644	4.344888925	1.014689468	1.688493391	0.857411959	0.539237511	0.727161161
66	65	10.73341376	12.4892336	3.754586475	9.164314425	1.084092938	11.06877248	3.064854791	9.813636413	1.556350103	3.735442343	13.26934941	2.550578772	4.389777177	8.512076988	9.040500998	2.033781098	7.912056726	14.68153661	1.292815808	4.076558762	0.974332809	1.836730991	0.812930927	0.525584637	0.676758338
67	66	8.308715442	12.84489969	3.920205492	6.949594149	1.162735142	9.358620443	2.893787888	10.62993607	1.269763286	3.766958722	14.47008029	2.640513324	4.156209785	7.504158068	8.675494499	2.327721374	9.806731116	11.81833009	1.281518356	4.334976316	1.023348903	1.725760134	0.847243329	0.51171229	0.700087033
68	67	6.461252632	11.50852236	3.378124044	9.472484644	1.253864874	12.18782776	3.350922902	11.25687625	1.322086308	4.088554519	13.98048966	3.162984347	4.377926858	9.576663343	8.662693961	2.695434208	13.78992924	6.739917442	1.292759556	3.973915198	0.98374895	1.785533	0.848299313	0.499394837	0.724508271
