cell	x	y	cluster
-23531.WT_25	2353.5789473684213	1708.157894736842	c34
-23493.WT_25	2642.6129032258063	1682.451612903226	c9
-23480.WT_25	2546.903225806452	1683.1935483870968	c23
-23479.WT_25	2827.5987261146497	1668.6369426751592	c3
-23380.WT_25	2364.428571428572	1671.3333333333333	c6
-23298.WT_25	2969.8888888888887	1622.4888888888888	c22
-23291.WT_25	2283.333333333333	1663.2	c0
-23277.WT_25	2932.443181818182	1622.375	c0
-23275.WT_25	3041.259541984733	1615.618320610687	c17
-23274.WT_25	3052.8511904761904	1614.8809523809523	c17
-23222.WT_25	3048.783783783784	1605.162162162162	c13
-23214.WT_25	2934.85	1612.15	c6
-23197.WT_25	2605.6071428571427	1626.75	c10
-23196.WT_25	2770.3214285714284	1617.482142857143	c0
-23153.WT_25	2919.208333333333	1598.8333333333333	c6
-23152.WT_25	2336.6875	1635.5	c13
-23146.WT_25	2578.8823529411766	1619.6470588235295	c10
-23121.WT_25	2594.407079646018	1617.6283185840707	c21
-23112.WT_25	2570.7916666666665	1616.4583333333333	c0
-23111.WT_25	2639.818181818182	1608.4545454545455	c0
-23110.WT_25	3013.342857142857	1586.9714285714283	c9
-23048.WT_25	3277.074074074074	1563.925925925926	c13
-23043.WT_25	3265.653846153846	1563.5384615384614	c13
-23040.WT_25	3020.4347826086955	1579.304347826087	c9
-23019.WT_25	2064.5714285714284	1631.142857142857	c3
-23016.WT_25	2888.3793103448274	1583.7931034482758	c0
-22986.WT_25	2064.958333333333	1627.2083333333333	c0
-22964.WT_25	1838.56	1636.68	c6
-22938.WT_25	2057.5151515151515	1620.939393939394	c10
-22936.WT_25	2188.153846153846	1610.3846153846157	c0
-22933.WT_25	2551.779411764706	1588.279411764706	c6
-22927.WT_25	2878.2909090909093	1573.1090909090908	c21
-22926.WT_25	2884.333333333333	1572.2380952380952	c24
-22876.WT_25	2440.833333333333	1589.625	c0
-22862.WT_25	2863.98	1561.18	c13
-22849.WT_25	2676.236842105264	1571.1842105263158	c21
-22847.WT_25	2561.5925925925926	1581.111111111111	c0
-22840.WT_25	1775.7	1624.66	c3
-22838.WT_25	2064.4242424242425	1605.6666666666667	c10
-22835.WT_25	2180.264150943396	1600.339622641509	c5
-22834.WT_25	2188.41875	1600.8875	c10
-22832.WT_25	2326.0625	1589.5	c6
-22827.WT_25	2543.333333333333	1580.8333333333333	c6
-22826.WT_25	2551.704545454545	1578.5227272727273	c29
-22821.WT_25	2890.660714285714	1557.4642857142858	c21
-22820.WT_25	2898.328125	1555.203125	c13
-22818.WT_25	3114.0	1539.953488372093	c0
-22761.WT_25	2902.4117647058824	1547.0	c13
-22760.WT_25	3113.2380952380954	1534.190476190476	c32
-22759.WT_25	3266.428571428572	1523.6666666666667	c4
-22753.WT_25	2068.1304347826085	1599.7391304347825	c10
-22742.WT_25	2789.4615384615386	1552.5384615384614	c32
-22736.WT_25	2198.0408163265306	1589.265306122449	c2
-22729.WT_25	3152.0344827586205	1528.4137931034484	c13
-22727.WT_25	2188.4565217391305	1589.536231884058	c10
-22712.WT_25	1921.981132075472	1602.6415094339625	c13
-22707.WT_25	2120.75	1592.3125	c3
-22706.WT_25	2131.9736842105262	1592.4473684210527	c6
-22705.WT_25	2147.454545454545	1588.5454545454545	c6
-22704.WT_25	2391.42	1574.26	c10
-22703.WT_25	2468.4761904761904	1568.190476190476	c6
-22702.WT_25	2483.514285714285	1569.2857142857142	c6
-22701.WT_25	2550.185185185185	1565.5925925925926	c6
-22699.WT_25	2755.153846153846	1546.8461538461538	c0
-22698.WT_25	2783.7291666666665	1550.6041666666667	c32
-22691.WT_25	3662.065573770492	1495.049180327869	c17
-22641.WT_25	2551.620689655173	1556.3103448275865	c12
-22640.WT_25	2776.6521739130435	1541.695652173913	c32
-22636.WT_25	1928.2	1594.6	c10
-22635.WT_25	2084.8571428571427	1584.071428571429	c9
-22620.WT_25	3569.3571428571427	1489.928571428571	c17
-22619.WT_25	2761.777777777778	1540.4444444444443	c13
-22612.WT_25	2089.4117647058824	1580.7058823529412	c8
-22599.WT_25	1735.25	1598.05	c10
-22595.WT_25	2041.0227272727277	1583.3636363636365	c10
-22590.WT_25	2700.297297297297	1539.918918918919	c29
-22588.WT_25	2753.88	1540.56	c32
-22582.WT_25	3655.3698630136983	1481.082191780822	c27
-22581.WT_25	3663.6615384615375	1481.2230769230769	c27
-22578.WT_25	4764.293333333333	1414.44	c11
-22577.WT_25	4872.925	1402.525	c9
-22504.WT_25	1729.5869565217392	1592.5217391304348	c22
-22503.WT_25	1839.909090909091	1582.7272727272727	c10
-22482.WT_25	1782.8367346938776	1586.0408163265306	c21
-22479.WT_25	1859.25	1577.4166666666667	c6
-22473.WT_25	2565.325	1533.6	c29
-22472.WT_25	2577.7438016528927	1535.0743801652893	c13
-22468.WT_25	2643.5416666666665	1530.5208333333333	c27
-22461.WT_25	3515.953488372093	1478.6976744186047	c7
-22460.WT_25	3653.3693693693695	1469.018018018018	c27
-22459.WT_25	3663.976047904192	1469.059880239521	c15
-22458.WT_25	4082.202898550725	1439.6666666666667	c15
-22453.WT_25	4873.117647058823	1392.3058823529411	c9
-22449.WT_25	5058.098360655737	1379.5081967213114	c15
-22350.WT_25	2768.0	1510.3	c4
-22347.WT_25	1852.92	1569.64	c10
-22346.WT_25	2574.659090909091	1526.2727272727273	c10
-22345.WT_25	2584.458333333333	1523.7291666666667	c10
-22343.WT_25	3314.923076923077	1478.923076923077	c23
-22333.WT_25	1742.859375	1576.296875	c6
-22330.WT_25	2068.32	1552.28	c10
-22329.WT_25	2074.756097560976	1554.9024390243903	c13
-22327.WT_25	2566.8837209302324	1523.0232558139537	c21
-22326.WT_25	2604.7906976744184	1517.1627906976744	c13
-22325.WT_25	2615.371900826446	1519.892561983471	c13
-22320.WT_25	3662.1679389312976	1453.87786259542	c15
-22313.WT_25	4083.590361445783	1429.3855421686746	c9
-22312.WT_25	4093.343195266272	1427.7869822485206	c9
-22311.WT_25	4103.573333333334	1426.48	c17
-22310.WT_25	4228.744186046512	1415.813953488372	c30
-22215.WT_25	3289.6666666666665	1469.0	c23
-22209.WT_25	4230.272727272727	1410.7575757575758	c14
-22181.WT_25	1758.4166666666667	1562.1666666666667	c10
-22179.WT_25	4100.95652173913	1417.8260869565215	c14
-22176.WT_25	3194.75	1471.375	c23
-22174.WT_25	1878.2105263157891	1554.5263157894738	c6
-22163.WT_25	2792.5652173913045	1496.7391304347825	c4
-22161.WT_25	4095.1463414634154	1417.2682926829268	c9
-22155.WT_25	2604.083333333333	1509.2142857142858	c13
-22142.WT_25	1904.7012987012988	1549.1168831168832	c6
-22141.WT_25	1911.1666666666667	1546.1666666666667	c32
-22135.WT_25	2427.346153846154	1515.923076923077	c6
-22133.WT_25	2613.9736842105262	1508.2236842105262	c13
-22132.WT_25	2628.135135135135	1503.3783783783783	c23
-22130.WT_25	3068.6666666666665	1476.4333333333334	c10
-22122.WT_25	3662.695238095238	1441.3904761904762	c17
-22118.WT_25	3822.77570093458	1433.0934579439252	c15
-22113.WT_25	3892.485507246377	1427.9130434782608	c17
-22110.WT_25	3976.714285714286	1419.5	c3
-22105.WT_25	4190.478260869565	1404.0869565217392	c17
-22104.WT_25	4198.928571428572	1402.928571428571	c15
-22102.WT_25	4499.090909090909	1384.0454545454545	c15
-22101.WT_25	4509.967741935484	1384.758064516129	c15
-22008.WT_25	3504.1875	1443.0625	c4
-22007.WT_25	3672.725	1432.075	c17
-21996.WT_25	4002.764705882353	1410.8235294117646	c7
-21989.WT_25	3128.875	1465.4375	c4
-21977.WT_25	4497.611111111111	1379.1666666666667	c15
-21971.WT_25	3758.581818181818	1425.9454545454546	c17
-21964.WT_25	1914.014705882353	1540.014705882353	c6
-21959.WT_25	3358.333333333333	1448.3333333333333	c32
-21952.WT_25	3363.6666666666665	1447.6444444444444	c13
-21949.WT_25	4210.178082191781	1396.3287671232877	c7
-21943.WT_25	2624.056603773585	1495.339622641509	c0
-21929.WT_25	2962.074074074074	1469.8148148148148	c0
-21921.WT_25	1927.8309859154929	1536.6338028169014	c0
-21920.WT_25	1937.909090909091	1532.2727272727273	c6
-21917.WT_25	2066.375	1526.296875	c21
-21916.WT_25	2075.019607843137	1525.5980392156862	c21
-21914.WT_25	2186.6875	1522.1875	c2
-21913.WT_25	2296.3076923076924	1510.2307692307693	c23
-21907.WT_25	2615.366666666667	1490.6166666666666	c0
-21903.WT_25	2869.4166666666665	1475.3333333333333	c7
-21902.WT_25	2881.275	1476.9375	c32
-21897.WT_25	3662.275590551181	1428.3070866141732	c15
-21893.WT_25	3785.647058823529	1418.5735294117646	c17
-21892.WT_25	3792.6326530612246	1417.0	c17
-21890.WT_25	3861.9921875	1414.6875	c2
-21889.WT_25	3971.4598540145994	1408.5620437956204	c14
-21884.WT_25	4189.329268292683	1395.841463414634	c17
-21883.WT_25	4199.263157894737	1396.6315789473683	c7
-21790.WT_25	3793.964285714286	1411.892857142857	c17
-21758.WT_25	4053.633333333333	1393.9	c13
-21757.WT_25	4114.512195121952	1390.219512195122	c17
-21754.WT_25	2208.294117647059	1507.9411764705883	c2
-21750.WT_25	1795.1875	1534.46875	c10
-21741.WT_25	2490.285714285714	1490.2857142857142	c29
-21731.WT_25	3086.777777777778	1451.7777777777778	c32
-21724.WT_25	1986.354838709677	1520.645161290323	c10
-21723.WT_25	3704.791044776119	1413.4328358208954	c30
-21708.WT_25	1904.0	1519.3076923076924	c6
-21706.WT_25	1929.3333333333333	1525.0833333333333	c9
-21704.WT_25	1992.8	1519.02	c10
-21702.WT_25	2046.6046511627908	1516.1279069767445	c12
-21701.WT_25	2063.901639344262	1513.704918032787	c10
-21700.WT_25	2073.538461538461	1515.4326923076924	c21
-21698.WT_25	2195.583333333333	1503.7083333333333	c6
-21695.WT_25	2668.242424242424	1476.8484848484848	c0
-21694.WT_25	2675.8571428571427	1481.071428571429	c29
-21690.WT_25	3046.0625	1452.1875	c13
-21689.WT_25	3180.1833333333334	1445.85	c23
-21688.WT_25	3186.9824561403507	1442.7894736842106	c23
-21685.WT_25	3650.8901098901097	1415.0879120879122	c30
-21684.WT_25	3658.542553191489	1416.4255319148936	c15
-21683.WT_25	3714.4117647058815	1413.5210084033613	c15
-21682.WT_25	3726.010526315789	1410.378947368421	c15
-21679.WT_25	3862.939759036145	1402.7168674698796	c13
-21675.WT_25	4063.6111111111113	1387.0833333333333	c9
-21673.WT_25	4266.535433070866	1376.1181102362204	c15
-21672.WT_25	4276.943181818182	1373.9772727272727	c14
-21671.WT_25	4308.96	1369.28	c9
-21582.WT_25	3202.833333333333	1434.1666666666667	c23
-21577.WT_25	1904.5217391304348	1516.1304347826087	c9
-21567.WT_25	3413.75	1420.5	c4
-21544.WT_25	2826.6	1456.2	c21
-21515.WT_25	3190.125	1432.875	c23
-21514.WT_25	3728.428571428572	1399.6836734693877	c13
-21496.WT_25	2478.088888888889	1473.3555555555556	c8
-21491.WT_25	2891.42	1446.44	c32
-21484.WT_25	3836.041237113402	1391.6701030927834	c14
-21482.WT_25	4265.039772727273	1363.5170454545455	c9
-21481.WT_25	4278.017441860465	1362.889534883721	c9
-21480.WT_25	4291.649350649351	1358.2727272727273	c15
-21479.WT_25	4305.891891891892	1360.3986486486488	c15
-21478.WT_25	4318.411111111112	1360.2611111111112	c15
-21477.WT_25	4332.125748502994	1359.1377245508982	c15
-21465.WT_25	5310.68085106383	1296.2553191489362	c15
-21336.WT_25	2488.74358974359	1464.4615384615386	c10
-21335.WT_25	3381.2	1408.8	c0
-21333.WT_25	3109.7115384615386	1424.7884615384614	c23
-21326.WT_25	2609.3214285714284	1455.428571428571	c0
-21319.WT_25	4329.537634408603	1348.8817204301076	c15
-21311.WT_25	3244.063492063492	1415.1746031746031	c23
-21302.WT_25	4263.680555555556	1351.638888888889	c9
-21298.WT_25	1473.3939393939395	1523.0	c6
-21297.WT_25	1479.6702127659576	1524.106382978723	c12
-21294.WT_25	2235.8888888888887	1476.1296296296296	c2
-21293.WT_25	2243.454545454545	1473.6818181818182	c2
-21292.WT_25	2277.811320754717	1470.6792452830189	c0
-21291.WT_25	2289.2795698924733	1470.774193548387	c23
-21284.WT_25	3177.769230769231	1415.4615384615386	c23
-21281.WT_25	3386.333333333333	1403.4166666666667	c13
-21280.WT_25	3400.5333333333333	1400.4	c3
-21279.WT_25	3609.029411764706	1389.1470588235295	c4
-21275.WT_25	4277.561797752809	1349.7359550561798	c9
-21273.WT_25	4304.381215469613	1347.9226519337017	c15
-21272.WT_25	4317.459302325581	1347.1337209302326	c15
-21179.WT_25	4281.545454545455	1341.1818181818182	c30
-21146.WT_25	4290.198198198198	1337.7747747747749	c30
-21143.WT_25	2587.391304347826	1444.608695652174	c2
-21133.WT_25	3187.061728395062	1406.3703703703704	c23
-21131.WT_25	1954.192307692308	1481.2692307692307	c6
-21125.WT_25	1752.4666666666667	1491.4666666666667	c23
-21122.WT_25	1191.2571428571428	1527.0857142857142	c15
-21121.WT_25	1196.7560975609756	1524.5121951219512	c30
-21117.WT_25	1473.6274509803925	1511.137254901961	c6
-21116.WT_25	1481.6625	1510.79375	c12
-21110.WT_25	2277.0884955752213	1461.5929203539822	c7
-21109.WT_25	2288.224358974359	1461.3974358974358	c10
-21108.WT_25	2296.5813953488373	1458.7906976744189	c32
-21106.WT_25	2592.4666666666667	1437.8666666666666	c17
-21102.WT_25	3178.6875	1404.0833333333333	c23
-21100.WT_25	3593.068181818182	1374.3863636363635	c4
-21099.WT_25	3604.163793103448	1375.948275862069	c23
-21098.WT_25	3612.9166666666665	1372.5	c0
-21095.WT_25	4304.033333333334	1335.46	c9
-21094.WT_25	4314.341176470588	1334.9058823529413	c15
-21089.WT_25	4680.594594594595	1308.6891891891892	c11
-20956.WT_25	2296.6363636363635	1449.0	c32
-20948.WT_25	1478.7230769230769	1500.953846153846	c10
-20934.WT_25	2420.818181818182	1436.090909090909	c2
-20926.WT_25	2074.5172413793102	1459.7241379310344	c0
-20925.WT_25	3612.744680851064	1365.127659574468	c4
-20920.WT_25	1739.25	1479.107142857143	c10
-20919.WT_25	1749.3684210526317	1478.157894736842	c6
-20917.WT_25	1883.0869565217392	1471.554347826087	c21
-20913.WT_25	2151.590909090909	1450.1363636363635	c6
-20908.WT_25	2608.584905660377	1424.5849056603774	c0
-20906.WT_25	2637.625	1421.75	c0
-20905.WT_25	2648.072727272727	1421.5454545454545	c0
-20903.WT_25	2851.7522123893805	1412.486725663717	c10
-20897.WT_25	3593.872093023256	1366.3837209302326	c23
-20896.WT_25	3604.038888888889	1364.6722222222222	c4
-20895.WT_25	3671.681818181818	1358.2727272727273	c23
-20894.WT_25	3682.923076923077	1356.6025641025642	c23
-20892.WT_25	3956.657894736842	1339.7631578947369	c9
-20891.WT_25	3962.515151515152	1337.969696969697	c23
-20788.WT_25	2605.6666666666665	1419.2222222222222	c0
-20773.WT_25	3325.1363636363635	1372.9545454545455	c23
-20764.WT_25	2390.346153846154	1431.0	c12
-20757.WT_25	2637.6	1416.2888888888888	c0
-20752.WT_25	1894.9411764705883	1461.9411764705883	c10
-20748.WT_25	3600.846153846154	1355.576923076923	c4
-20747.WT_25	3719.05	1346.85	c13
-20727.WT_25	3715.3125	1344.875	c13
-20704.WT_25	3117.3653846153848	1377.3846153846157	c16
-20699.WT_25	3414.3125	1358.5	c13
-20698.WT_25	3671.277777777778	1348.7460317460318	c23
-20697.WT_25	3681.285714285714	1346.3865546218487	c23
-20693.WT_25	3954.5546218487393	1328.6302521008404	c23
-20692.WT_25	3965.824858757062	1328.5254237288136	c23
-20691.WT_25	3974.571428571429	1326.2285714285715	c13
-20592.WT_25	3410.076923076923	1354.6923076923076	c13
-20591.WT_25	3679.642857142857	1338.2857142857142	c23
-20584.WT_25	3951.472222222222	1320.5833333333333	c23
-20579.WT_25	3118.777777777778	1372.6296296296296	c16
-20562.WT_25	2607.470588235294	1403.3529411764705	c0
-20556.WT_25	1990.3333333333333	1440.6666666666667	c2
-20555.WT_25	3174.866666666667	1367.7	c23
-20542.WT_25	1853.0	1444.7	c10
-20535.WT_25	1397.6969696969695	1476.2424242424242	c0
-20531.WT_25	3806.92	1326.08	c4
-20524.WT_25	1521.875	1465.9375	c21
-20513.WT_25	3041.4761904761904	1372.142857142857	c0
-20512.WT_25	3049.957746478873	1368.619718309859	c0
-20506.WT_25	3914.060606060606	1317.030303030303	c23
-20505.WT_25	3964.2285714285713	1319.2571428571428	c4
-20385.WT_25	3960.904761904762	1305.2857142857142	c23
-20381.WT_25	3539.0	1331.0	c13
-20380.WT_25	3908.6666666666665	1308.3333333333333	c23
-20375.WT_25	3309.75	1344.25	c0
-20359.WT_25	2875.8	1369.3	c0
-20356.WT_25	1529.111111111111	1450.0	c12
-20355.WT_25	2053.157894736842	1419.2631578947369	c0
-20338.WT_25	2512.1129032258063	1389.741935483871	c29
-20337.WT_25	3041.037037037037	1359.641975308642	c0
-20336.WT_25	3050.374269005848	1359.0116959064328	c0
-20335.WT_25	3122.4761904761904	1350.142857142857	c29
-20330.WT_25	3362.1	1338.6666666666667	c8
-20329.WT_25	3403.260869565217	1332.7826086956522	c8
-20328.WT_25	3428.6666666666665	1331.9583333333333	c13
-20326.WT_25	3571.833333333333	1322.5	c13
-20325.WT_25	3673.15	1315.8	c23
-20324.WT_25	3680.529411764706	1318.735294117647	c23
-20321.WT_25	4163.203125	1287.9375	c6
-20193.WT_25	3856.9	1299.4	c23
-20189.WT_25	3120.3703703703704	1345.4444444444443	c0
-20161.WT_25	3402.021276595745	1327.2553191489362	c8
-20160.WT_25	3670.0	1310.0588235294117	c23
-20158.WT_25	3563.6153846153848	1315.923076923077	c23
-20147.WT_25	3359.6309523809523	1328.2261904761904	c5
-20142.WT_25	3047.6835443037976	1347.5822784810127	c0
-20136.WT_25	3479.4444444444443	1316.6666666666667	c0
-20117.WT_25	1409.326923076923	1447.923076923077	c10
-20114.WT_25	1637.125	1434.25	c6
-20113.WT_25	2082.2	1405.2	c0
-20112.WT_25	2095.733333333333	1406.0666666666666	c0
-20111.WT_25	2106.25	1403.5	c0
-20108.WT_25	3128.1627906976746	1341.186046511628	c0
-20107.WT_25	3139.590909090909	1336.0454545454545	c12
-20106.WT_25	3156.5625	1334.625	c23
-20101.WT_25	3443.6153846153848	1316.076923076923	c0
-20100.WT_25	3449.6	1319.825	c0
-20099.WT_25	3548.1	1312.05	c23
-20098.WT_25	3912.0	1290.3809523809523	c23
-19950.WT_25	3545.851851851852	1305.4074074074074	c23
-19936.WT_25	2096.972222222222	1395.0	c0
-19935.WT_25	3152.222222222222	1329.4444444444443	c0
-19921.WT_25	2134.058823529412	1390.1176470588234	c0
-19916.WT_25	3127.744680851064	1328.595744680851	c0
-19913.WT_25	1609.375	1423.4107142857142	c2
-19911.WT_25	3325.833333333333	1312.5833333333333	c29
-19884.WT_25	2084.4166666666665	1396.375	c0
-19880.WT_25	2659.344827586207	1353.2758620689656	c23
-19879.WT_25	2669.684210526316	1352.8947368421052	c0
-19877.WT_25	2985.75	1334.95	c0
-19876.WT_25	2989.7619047619046	1336.7142857142858	c0
-19874.WT_25	3265.5443037974683	1315.5443037974685	c6
-19873.WT_25	3276.8837209302324	1315.5813953488373	c21
-19872.WT_25	3285.9565217391305	1313.1739130434785	c23
-19871.WT_25	3322.103448275862	1312.7241379310344	c5
-19870.WT_25	3346.48	1314.4	c5
-19865.WT_25	4609.085714285714	1234.6	c9
-19860.WT_25	4765.705882352941	1223.0441176470588	c9
-19859.WT_25	4834.428571428572	1215.5357142857142	c16
-19858.WT_25	4846.966666666666	1214.9	c10
-19851.WT_25	5371.542857142857	1186.1238095238095	c14
-19720.WT_25	3266.428571428572	1309.4857142857145	c6
-19719.WT_25	5369.264705882353	1178.029411764706	c14
-19714.WT_25	1720.22	1405.3	c10
-19713.WT_25	2656.7727272727275	1347.1818181818182	c29
-19712.WT_25	4759.294117647059	1215.3529411764705	c9
-19685.WT_25	1781.5833333333333	1398.0	c6
-19683.WT_25	4121.363636363636	1250.6363636363635	c13
-19677.WT_25	3648.3333333333335	1280.5833333333333	c23
-19670.WT_25	3113.5714285714284	1316.2	c29
-19660.WT_25	1181.8703703703704	1430.9814814814815	c6
-19658.WT_25	1235.0454545454545	1431.5113636363635	c3
-19654.WT_25	1622.178571428571	1404.892857142857	c11
-19640.WT_25	2630.0365853658536	1343.9268292682927	c29
-19639.WT_25	2762.8809523809523	1333.3333333333333	c2
-19638.WT_25	3031.2631578947367	1315.0526315789473	c8
-19637.WT_25	3064.3636363636365	1312.7727272727273	c0
-19635.WT_25	3093.4	1312.8666666666666	c0
-19634.WT_25	3101.3465346534654	1312.3861386138617	c29
-19633.WT_25	3144.1176470588234	1308.7941176470588	c16
-19632.WT_25	3158.0344827586205	1309.6206896551723	c2
-19631.WT_25	3276.8117647058825	1304.664705882353	c2
-19630.WT_25	3288.679104477612	1302.544776119403	c8
-19629.WT_25	3356.6197183098598	1299.380281690141	c5
-19627.WT_25	3640.082191780822	1281.657534246575	c23
-19625.WT_25	3985.5	1255.25	c11
-19624.WT_25	4137.8	1247.2	c5
-19621.WT_25	4834.428571428572	1207.295238095238	c16
-19620.WT_25	4849.118518518519	1206.7037037037037	c10
-19619.WT_25	4860.431192660551	1202.9908256880733	c16
-19484.WT_25	3276.777777777778	1296.4444444444443	c2
-19483.WT_25	3638.4	1273.2	c23
-19473.WT_25	3288.333333333333	1294.888888888889	c23
-19462.WT_25	2225.935483870968	1361.3870967741937	c2
-19452.WT_25	2014.9310344827584	1373.448275862069	c8
-19451.WT_25	2767.6451612903224	1326.4193548387098	c29
-19439.WT_25	2039.692307692308	1371.0	c7
-19438.WT_25	2613.333333333333	1334.4	c2
-19432.WT_25	3990.2105263157896	1249.1052631578948	c4
-19427.WT_25	2350.346153846154	1351.1923076923076	c29
-19417.WT_25	2525.3571428571427	1335.142857142857	c2
-19414.WT_25	1179.6666666666667	1425.8	c6
-19409.WT_25	3138.073529411765	1301.514705882353	c29
-19404.WT_25	1866.692307692308	1376.7179487179487	c0
-19403.WT_25	1973.857142857143	1369.428571428571	c13
-19402.WT_25	1984.1612903225807	1370.451612903226	c8
-19401.WT_25	2050.3783783783783	1365.4324324324325	c0
-19391.WT_25	2847.1911764705883	1314.1470588235295	c29
-19388.WT_25	2886.782608695652	1313.5	c0
-19387.WT_25	2930.162162162162	1309.2702702702702	c0
-19386.WT_25	2936.8939393939395	1309.060606060606	c0
-19384.WT_25	3059.959677419354	1305.766129032258	c8
-19383.WT_25	3132.222222222222	1298.4166666666667	c19
-19373.WT_25	5491.777777777777	1150.0555555555557	c17
-19229.WT_25	2049.4761904761904	1357.428571428571	c8
-19227.WT_25	2968.3809523809523	1299.7619047619048	c0
-19222.WT_25	2538.333333333333	1326.1666666666667	c2
-19213.WT_25	2845.5733333333333	1308.0533333333333	c19
-19212.WT_25	2930.19512195122	1301.3658536585365	c29
-19204.WT_25	2413.723404255319	1332.872340425532	c29
-19203.WT_25	2659.9523809523807	1317.3333333333333	c13
-19202.WT_25	2936.6279069767443	1300.5697674418604	c29
-19195.WT_25	4321.533333333334	1211.8333333333333	c9
-19187.WT_25	4251.0	1217.111111111111	c0
-19181.WT_25	1940.5	1359.8333333333333	c2
-19171.WT_25	1546.3658536585365	1383.2682926829268	c12
-19170.WT_25	1553.071428571429	1382.9	c10
-19168.WT_25	1689.5	1372.9444444444443	c12
-19163.WT_25	2547.322580645161	1320.516129032258	c29
-19160.WT_25	2668.1020408163267	1317.1224489795918	c29
-19158.WT_25	2874.387387387387	1302.3153153153153	c29
-19157.WT_25	2883.230769230769	1301.5128205128206	c29
-19156.WT_25	2902.5454545454545	1298.5454545454545	c16
-19155.WT_25	2907.6052631578946	1297.842105263158	c13
-19141.WT_25	4819.044871794872	1180.4358974358977	c16
-19132.WT_25	5411.470588235294	1143.2222222222222	c17
-18992.WT_25	5056.666666666667	1156.5238095238096	c9
-18985.WT_25	2780.625	1298.375	c2
-18978.WT_25	3030.9523809523807	1282.190476190476	c23
-18976.WT_25	5450.065217391304	1131.1847826086955	c3
-18956.WT_25	1362.75	1383.05	c6
-18954.WT_25	3005.757575757576	1282.7878787878788	c0
-18953.WT_25	4810.0	1169.7179487179487	c16
-18946.WT_25	2905.9565217391305	1289.9130434782608	c16
-18931.WT_25	1542.495652173913	1370.817391304348	c10
-18930.WT_25	1550.225806451613	1373.354838709677	c6
-18929.WT_25	1608.322033898305	1365.8474576271187	c2
-18926.WT_25	2052.5714285714284	1337.642857142857	c0
-18924.WT_25	2090.521739130435	1337.3260869565215	c7
-18923.WT_25	2281.9115044247787	1326.0	c8
-18922.WT_25	2287.6363636363635	1324.8181818181818	c8
-18919.WT_25	2681.8695652173915	1299.6739130434785	c29
-18918.WT_25	2874.7611940298507	1290.402985074627	c2
-18917.WT_25	2883.243243243244	1288.7297297297298	c29
-18916.WT_25	2902.372093023256	1288.8837209302326	c16
-18914.WT_25	3516.722222222222	1246.7916666666667	c3
-18913.WT_25	3529.5	1245.7254901960785	c7
-18912.WT_25	3542.3076923076924	1246.5	c0
-18908.WT_25	4707.0	1172.5	c17
-18906.WT_25	4819.005617977528	1167.6685393258426	c22
-18774.WT_25	2288.9375	1317.5	c8
-18762.WT_25	3700.0	1228.4	c0
-18754.WT_25	1611.7857142857142	1359.178571428571	c2
-18733.WT_25	1696.142857142857	1352.071428571429	c2
-18723.WT_25	1531.7407407407406	1362.3333333333333	c10
-18720.WT_25	4169.8	1195.1	c7
-18713.WT_25	3057.5454545454545	1264.7727272727273	c2
-18712.WT_25	3659.0	1228.0	c4
-18707.WT_25	1617.3777777777775	1355.2888888888888	c2
-18703.WT_25	1539.3177570093458	1361.7570093457944	c10
-18702.WT_25	2060.2	1329.16	c0
-18680.WT_25	4150.8	1197.2	c13
-18677.WT_25	1152.341463414634	1382.9512195121952	c6
-18676.WT_25	1229.974358974359	1375.2051282051282	c6
-18672.WT_25	1568.642857142857	1352.2857142857142	c2
-18671.WT_25	1812.7333333333331	1345.1333333333334	c13
-18666.WT_25	2899.866666666667	1276.2666666666669	c2
-18662.WT_25	3370.714285714286	1239.7142857142858	c8
-18661.WT_25	3378.0	1238.6470588235295	c0
-18659.WT_25	3517.8	1235.8285714285714	c8
-18658.WT_25	3528.2954545454545	1234.909090909091	c7
-18657.WT_25	3653.8888888888887	1223.111111111111	c0
-18647.WT_25	4816.35294117647	1155.470588235294	c2
-18521.WT_25	2112.6363636363635	1314.4545454545455	c9
-18520.WT_25	2896.285714285714	1265.7142857142858	c16
-18518.WT_25	3518.7391304347825	1226.5217391304348	c5
-18513.WT_25	1853.1666666666667	1330.8333333333333	c13
-18493.WT_25	3378.5	1234.6470588235295	c8
-18492.WT_25	4659.714285714285	1153.428571428571	c6
-18489.WT_25	1966.8666666666663	1322.5333333333333	c2
-18477.WT_25	1820.5925925925928	1331.7037037037037	c13
-18475.WT_25	3526.0	1224.7571428571428	c5
-18465.WT_25	3962.928571428572	1193.642857142857	c4
-18456.WT_25	3122.090909090909	1244.909090909091	c2
-18443.WT_25	4202.222222222223	1175.111111111111	c9
-18437.WT_25	1287.5652173913045	1356.7826086956522	c12
-18434.WT_25	1418.9411764705883	1351.6274509803925	c6
-18433.WT_25	1448.4736842105262	1347.157894736842	c21
-18430.WT_25	1563.1666666666667	1344.8333333333333	c2
-18429.WT_25	1736.529411764706	1330.4117647058824	c2
-18423.WT_25	3365.076923076923	1231.5384615384614	c23
-18422.WT_25	3733.4166666666665	1207.1666666666667	c23
-18419.WT_25	3966.730769230769	1190.3846153846157	c4
-18418.WT_25	4545.642857142857	1155.428571428571	c9
-18417.WT_25	4564.615384615385	1153.2307692307693	c9
-18415.WT_25	4669.198275862069	1151.7241379310344	c10
