cell	x	y	cluster
146268.WT_25	1697.3636363636365	1592.8484848484848	c22
146283.WT_25	1623.3809523809523	377.04761904761904	c12
146285.WT_25	1626.8076923076924	466.5384615384616	c21
146288.WT_25	1648.8	759.05	c5
146289.WT_25	1657.6176470588234	893.5882352941177	c2
146290.WT_25	1658.2142857142858	902.1190476190476	c11
146291.WT_25	1671.452380952381	1173.404761904762	c2
146292.WT_25	1678.4791666666667	1256.7083333333333	c8
146293.WT_25	1682.8648648648648	1325.5135135135135	c21
146294.WT_25	1695.370588235294	1509.6764705882354	c6
146306.WT_25	1614.125	248.79166666666663	c9
146309.WT_25	1623.82	403.34	c12
146310.WT_25	1633.7333333333331	555.9333333333333	c10
146311.WT_25	1641.891891891892	733.1216216216217	c7
146312.WT_25	1658.392523364486	914.7383177570092	c3
146313.WT_25	1671.2	1127.6333333333334	c5
146314.WT_25	1671.6326530612246	1139.2244897959183	c5
146327.WT_25	1620.24	387.74	c12
146331.WT_25	1647.357142857143	754.9285714285714	c5
146333.WT_25	1654.6666666666667	895.75	c11
146334.WT_25	1667.3333333333333	1072.1060606060605	c5
146336.WT_25	1679.5434782608695	1303.0217391304348	c21
146346.WT_25	1616.2222222222222	336.984126984127	c6
146349.WT_25	1655.7307692307693	899.6153846153846	c22
146350.WT_25	1662.6914893617022	999.563829787234	c2
146351.WT_25	1664.5945945945946	1052.5675675675675	c8
146352.WT_25	1671.0	1181.342105263158	c8
146353.WT_25	1698.36	1580.92	c22
146354.WT_25	1693.7191780821918	1601.541095890411	c17
146363.WT_25	1615.1954022988505	241.0804597701149	c15
146365.WT_25	1617.9078014184397	318.1489361702128	c22
146367.WT_25	1632.0869565217392	570.5652173913044	c5
146368.WT_25	1647.48623853211	667.7110091743119	c12
146369.WT_25	1641.1764705882354	685.5882352941177	c2
146370.WT_25	1643.28	723.96	c2
146371.WT_25	1645.2592592592594	759.925925925926	c5
146372.WT_25	1648.029411764706	806.4705882352941	c0
146374.WT_25	1662.25	1016.95	c2
146375.WT_25	1664.781746031746	1031.607142857143	c2
146376.WT_25	1670.9473684210527	1160.1842105263158	c2
146378.WT_25	1696.7920792079208	1543.5643564356435	c21
146379.WT_25	1696.5686274509803	1573.3790849673203	c6
146398.WT_25	1616.323699421965	286.66473988439304	c22
146401.WT_25	1661.5544554455446	1010.1485148514852	c2
146402.WT_25	1676.8235294117646	1307.9411764705883	c10
146403.WT_25	1677.7916666666667	1317.0	c21
146404.WT_25	1694.1805555555557	1550.611111111111	c21
146405.WT_25	1698.4296296296295	1557.6	c21
146417.WT_25	1619.264705882353	362.2549019607843	c12
146418.WT_25	1619.2676056338028	392.5352112676056	c12
146419.WT_25	1622.75	422.0833333333333	c6
146420.WT_25	1632.2769230769231	589.2153846153847	c5
146421.WT_25	1637.6	639.4666666666667	c2
146422.WT_25	1641.793388429752	656.9752066115702	c12
146423.WT_25	1638.7111111111112	680.5333333333333	c11
146424.WT_25	1646.1153846153843	765.1923076923077	c5
146425.WT_25	1662.7222222222222	1047.2407407407406	c5
146426.WT_25	1662.5548387096774	1062.083870967742	c5
146427.WT_25	1666.9649122807018	1125.6491228070176	c8
146428.WT_25	1667.0	1133.225806451613	c2
146429.WT_25	1684.103448275862	1363.103448275862	c2
146430.WT_25	1685.7313432835822	1403.9253731343283	c10
146443.WT_25	1613.679389312977	271.2671755725191	c22
146445.WT_25	1622.5588235294117	425.6764705882353	c6
146446.WT_25	1624.7657657657658	473.5720720720721	c21
146447.WT_25	1624.4102564102564	497.37820512820514	c21
146449.WT_25	1644.3	809.22	c2
146450.WT_25	1655.2111111111112	962.3444444444444	c2
146451.WT_25	1658.6	993.7555555555556	c14
146452.WT_25	1659.9555555555555	1022.4	c3
146454.WT_25	1669.21875	1143.28125	c5
146474.WT_25	1626.4117647058824	482.88235294117646	c21
146476.WT_25	1630.617283950617	578.9753086419753	c5
146477.WT_25	1635.3908045977012	653.8850574712644	c7
146478.WT_25	1635.5	678.3	c2
146479.WT_25	1645.235294117647	790.1176470588235	c2
146480.WT_25	1646.7916666666667	854.0	c7
146481.WT_25	1649.038167938931	866.4351145038167	c2
146482.WT_25	1652.5704225352113	882.7253521126761	c11
146484.WT_25	1654.6168674698797	982.134939759036	c2
